BA;BUENOS AIRES;PAIS;ARG
CAP;CAPITAL FEDERAL;PAIS;ARG
CAT;CATAMARCA;PAIS;ARG
CHA;CHACO;PAIS;ARG
CHU;CHUBUT;PAIS;ARG
CBA;CORDOBA;PAIS;ARG
COR;CORRIENTES;PAIS;ARG
ER;ENTRE RIOS;PAIS;ARG
FOR;FORMOSA;PAIS;ARG
JUJ;JUJUY;PAIS;ARG
LAP;LA PAMPA;PAIS;ARG
LAR;LA RIOJA;PAIS;ARG
MZA;MENDOZA;PAIS;ARG
MSN;MISIONES;PAIS;ARG
NQN;NEUQUEN;PAIS;ARG
RIO;RIO NEGRO;PAIS;ARG
SAL;SALTA;PAIS;ARG
SJU;SAN JUAN;PAIS;ARG
SLU;SAN LUIS;PAIS;ARG
SCZ;SANTA CRUZ;PAIS;ARG
STF;SANTA FE;PAIS;ARG
STG;SANTIAGO DEL ESTERO;PAIS;ARG
TDF;TIERRA DEL FUEGO;PAIS;ARG
TUC;TUCUMAN;PAIS;ARG
